state,utilization %
Andaman and Nicobar Islands,1.28
Andhra Pradesh,97.43
Arunachal Pradesh,45.99
Assam,95.92
Bihar,41.39
Chandigarh,100.0
Chhattisgarh,6.64
Dadra and Nagar Haveli,28.19
Delhi,79.0
Goa,71.35
Gujarat,96.42
Haryana,87.85
Himachal Pradesh,63.23
Jammu & Kashmir,100.0
Jharkhand,32.92
Karnataka,66.18
Kerala,100.0
Ladakh,100.0
Lakshadweep,3.74
Madhya Pradesh,36.08
Maharashtra,91.39
Manipur,3.19
Meghalaya,100.0
Mizoram,100.0
Nagaland,100.0
Odisha,98.43
Puducherry,12.33
Punjab,49.36
Rajasthan,95.49
Sikkim,100.0
Tamil Nadu,21.89
Telangana,77.67
Tripura,100.0
Uttar Pradesh,15.2
Uttarakhand,84.27
West Bengal,97.59
Daman and Diu,100.0
